WORD	SAMPA	POS	PRON_VARIANT	IS_COMPOUND	COMPOUND_ATTR	HAS_PREFIX	LANG	IS_VALIDATED	COMMENT
aflýst	a v l i s t	so	all	false	none	true	IS	true	
afmarka	a v m a r_0 k a	n	all	false	none	true	IS	true	""
afmarkað	a v m a r_0 k a D	n	all	false	none	true	IS	true	""
afmæli	a v m ai l I	n	all	false	head	true	IS	true	""
afmælinu	a v m ai l I n Y	n	all	false	head	true	IS	true	""
afmælis	a v m ai l I s	n	all	false	both	true	IS	true	""
afmælisbarns	a m ai l I s p a r_0 s	n	standard_cas	true	head	true	IS	true	
afmælisbarns	a v m ai l I s p a r_0 s	n	standard_clear	true	head	true	IS	true	
afmælisdaginn	a m ai l I s t ai j I n	n	standard_cas	true	head	true	IS	true	
afmælisdaginn	a v m ai l I s t ai j I n	n	standard_clear	true	head	true	IS	true	
afmælisdegi	a m ai l I s t ei j I	n	standard_cas	true	head	false	IS	true	
afmælisdegi	a v m ai l I s t ei j I	n	standard_clear	true	head	false	IS	true	
afmælisgjöf	a m ai l I s c 9 f	n	standard_cas	true	head	true	IS	true	
afmælisgjöf	a v m ai l I s c 9 f	n	standard_clear	true	head	true	IS	true	
afmælissamkomu	a m ai l I s a m k_h O m Y	n	standard_cas	true	none	true	IS	true	
afmælissamkomu	a v m ai l I s a m k_h O m Y	n	standard_clear	true	none	true	IS	true	
afmælissönginn	a m ai l I s 9i J c I n	n	standard_cas	true	none	false	IS	true	
afmælissönginn	a v m ai l I s 9i J c I n	n	standard_clear	true	none	false	IS	true	
afmælissöngnum	a m ai l I s 9i n Y m	n	standard_cas	true	none	false	IS	true	
afmælissöngnum	a v m ai l I s 9i N n Y m	n	standard_clear	true	none	false	IS	true	
afmælisveislan	a m ai l I s v ei s t l a n	n	standard_cas	true	head	true	IS	true	
afmælisveislan	a v m ai l I s v ei s t l a n	n	standard_clear	true	head	true	IS	true	
afmælisveislu	a m ai l I s v ei s t l Y	n	standard_cas	true	both	false	IS	true	
afmælisveislu	a v m ai l I s v ei s t l Y	n	standard_clear	true	both	false	IS	true	
afmælið	a v m ai l I D	n	all	true	none	true	IS	true	
afmörkun	a v m 9 r_0 k Y n	n	all	false	head	true	IS	true	""
afmörkuð	a v m 9 r_0 k Y D	lo	all	false	none	true	IS	true	
afmörkuð	a v m 9 r_0 k Y D	so	all	false	none	true	IS	true	
afmörkuðu	a v m 9 r_0 k Y D Y	lo	all	false	none	true	IS	true	
afmörkuðu	a v m 9 r_0 k Y D Y	so	all	false	none	true	IS	true	
afmörkuðum	a v m 9 r_0 k Y D Y m	n	all	false	none	true	IS	true	""
afneita	a v n ei t a	so	standard_clear	false	none	true	IS	true	
afneita	a v n ei t_h a	so	north_clear	false	none	true	IS	true	
